,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
11840,98,Timbersaw,110,Phoenix,W,0.6,0.5586206896551724,214.0,0.5551020408163265,Tranquil Boots,36.0,0.5211267605633803,Magic Wand,79.0,0.5952380952380952,Mekansm,92.0,0.5242718446601942,Urn of Shadows,48.0,0.8947368421052632,Boots of Travel
11841,99,Bristleback,110,Phoenix,W,0.6557377049180327,0.5770609318996416,214.0,0.5678496868475992,Tranquil Boots,36.0,0.5722543352601156,Magic Wand,92.0,0.5544554455445545,Urn of Shadows,79.0,0.5454545454545454,Mekansm,48.0,0.775,Boots of Travel
11842,100,Tusk,110,Phoenix,E,0.6727272727272727,0.5904761904761905,214.0,0.5925925925925926,Tranquil Boots,36.0,0.5735294117647058,Magic Wand,79.0,0.6240601503759399,Mekansm,92.0,0.5961538461538461,Urn of Shadows,48.0,0.8108108108108109,Boots of Travel
11843,101,Skywrath Mage,110,Phoenix,E,0.6129032258064516,0.5258620689655172,214.0,0.4966666666666666,Tranquil Boots,36.0,0.5178571428571429,Magic Wand,92.0,0.5303030303030303,Urn of Shadows,79.0,0.5106382978723404,Mekansm,48.0,0.8709677419354839,Boots of Travel
11844,102,Abaddon,110,Phoenix,W,0.5614035087719298,0.4550408719346049,214.0,0.4272151898734177,Tranquil Boots,36.0,0.4326923076923077,Magic Wand,79.0,0.4948453608247423,Mekansm,92.0,0.4295302013422819,Urn of Shadows,31.0,0.1428571428571428,Cloak
11845,103,Elder Titan,110,Phoenix,W,0.4705882352941176,0.46774193548387094,36.0,0.6,Magic Wand,214.0,0.4615384615384616,Tranquil Boots,92.0,0.5,Urn of Shadows,79.0,0.4583333333333333,Mekansm,48.0,0.9,Boots of Travel
11846,104,Legion Commander,110,Phoenix,E,0.549079754601227,0.5319273579379028,214.0,0.516551724137931,Tranquil Boots,36.0,0.4978723404255319,Magic Wand,92.0,0.5373563218390804,Urn of Shadows,79.0,0.5277207392197125,Mekansm,48.0,0.810126582278481,Boots of Travel
11847,105,Techies,110,Phoenix,Q,0.6666666666666666,0.564625850340136,214.0,0.544,Tranquil Boots,36.0,0.5714285714285714,Magic Wand,79.0,0.5957446808510638,Mekansm,92.0,0.5740740740740741,Urn of Shadows,65.0,0.6296296296296297,Hand of Midas
11848,106,Ember Spirit,110,Phoenix,Q,0.7659574468085106,0.5954356846473029,214.0,0.567979669631512,Tranquil Boots,36.0,0.5190311418685121,Magic Wand,48.0,0.8476190476190476,Boots of Travel,92.0,0.5865384615384616,Urn of Shadows,79.0,0.6,Mekansm
11849,107,Earth Spirit,110,Phoenix,Q,0.6,0.5381882770870338,214.0,0.516597510373444,Tranquil Boots,36.0,0.4903846153846154,Magic Wand,92.0,0.4734299516908212,Urn of Shadows,79.0,0.592,Mekansm,48.0,0.8305084745762712,Boots of Travel
11850,109,Terrorblade,110,Phoenix,W,0.6923076923076923,0.5658914728682171,214.0,0.5446428571428571,Tranquil Boots,36.0,0.5675675675675675,Magic Wand,92.0,0.6122448979591837,Urn of Shadows,79.0,0.4736842105263158,Mekansm,48.0,0.9166666666666666,Boots of Travel
11851,111,Oracle,110,Phoenix,Q,0.5714285714285714,0.6113744075829384,214.0,0.6277777777777778,Tranquil Boots,92.0,0.6666666666666666,Urn of Shadows,36.0,0.5230769230769231,Magic Wand,79.0,0.5833333333333334,Mekansm,119.0,0.8181818181818182,Shiva's Guard
11852,112,Winter Wyvern,110,Phoenix,W,0.5925925925925926,0.5603448275862069,214.0,0.5365853658536586,Tranquil Boots,36.0,0.5,Magic Wand,79.0,0.6027397260273972,Mekansm,92.0,0.5411764705882353,Urn of Shadows,48.0,0.9411764705882353,Boots of Travel
11853,113,Arc Warden,110,Phoenix,Q,0.7,0.5128205128205128,214.0,0.4883720930232558,Tranquil Boots,36.0,0.3863636363636364,Magic Wand,79.0,0.6097560975609756,Mekansm,92.0,0.45,Urn of Shadows,180.0,0.8,Arcane Boots
11854,1,Anti-Mage,111,Oracle,Q,0.5,0.44,36.0,0.4175257731958763,Magic Wand,180.0,0.3484848484848485,Arcane Boots,178.0,0.6521739130434783,Soul Ring,31.0,0.6363636363636364,Cloak,79.0,0.3818181818181818,Mekansm
11855,2,Axe,111,Oracle,E,0.4903846153846154,0.4878048780487805,36.0,0.4545454545454545,Magic Wand,180.0,0.4,Arcane Boots,232.0,0.6041666666666666,Aether Lens,79.0,0.3541666666666667,Mekansm,214.0,0.5,Tranquil Boots
11856,3,Bane,111,Oracle,E,0.2631578947368421,0.4228187919463087,36.0,0.463768115942029,Magic Wand,180.0,0.3928571428571428,Arcane Boots,79.0,0.3214285714285715,Mekansm,232.0,0.5517241379310345,Aether Lens,214.0,0.391304347826087,Tranquil Boots
11857,4,Bloodseeker,111,Oracle,E,0.4705882352941176,0.44871794871794873,36.0,0.4067796610169492,Magic Wand,180.0,0.3770491803278688,Arcane Boots,79.0,0.3714285714285714,Mekansm,214.0,0.5,Tranquil Boots,37.0,0.2307692307692308,Ghost Scepter
11858,5,Crystal Maiden,111,Oracle,E,0.4222222222222222,0.40974212034383956,36.0,0.4388489208633093,Magic Wand,180.0,0.3676470588235294,Arcane Boots,79.0,0.4533333333333333,Mekansm,37.0,0.4358974358974359,Ghost Scepter,102.0,0.3703703703703703,Force Staff
11859,6,Drow Ranger,111,Oracle,E,0.3725490196078431,0.36764705882352944,36.0,0.4074074074074074,Magic Wand,180.0,0.2839506172839506,Arcane Boots,79.0,0.325,Mekansm,214.0,0.2340425531914894,Tranquil Boots,232.0,0.4827586206896552,Aether Lens
