,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
16,18,Sven,1,Anti-Mage,W,0.4768211920529801,0.44618215271389144,63.0,0.3960149439601494,Power Treads,145.0,0.464746772591857,Battle Fury,143.0,0.5232067510548524,Skull Basher,48.0,0.7164948453608248,Boots of Travel,147.0,0.5918884664131813,Manta Style,81.0,0.4989648033126294,Vladmir's Offering
17,19,Tiny,1,Anti-Mage,E,0.4545454545454545,0.40973971452560876,63.0,0.3547671840354767,Power Treads,145.0,0.4226244343891403,Battle Fury,48.0,0.7150537634408602,Boots of Travel,81.0,0.4923076923076923,Vladmir's Offering,143.0,0.430327868852459,Skull Basher,147.0,0.5272525027808677,Manta Style
18,20,Vengeful Spirit,1,Anti-Mage,W,0.515358361774744,0.4786458333333333,63.0,0.4255469301340861,Power Treads,145.0,0.4869226488592098,Battle Fury,48.0,0.7122905027932961,Boots of Travel,81.0,0.5274463007159904,Vladmir's Offering,147.0,0.574607329842932,Manta Style,143.0,0.4956521739130435,Skull Basher
19,21,Windranger,1,Anti-Mage,W,0.4577572964669739,0.44186575654152443,63.0,0.3943748089269337,Power Treads,145.0,0.451145958986731,Battle Fury,143.0,0.4566353187042842,Skull Basher,81.0,0.5018334206390781,Vladmir's Offering,147.0,0.546572934973638,Manta Style,48.0,0.6580976863753213,Boots of Travel
20,22,Zeus,1,Anti-Mage,Q,0.5307692307692308,0.5253833950290852,63.0,0.4796205200281096,Power Treads,145.0,0.5345117845117845,Battle Fury,81.0,0.581242532855436,Vladmir's Offering,147.0,0.6196141479099678,Manta Style,48.0,0.7215189873417721,Boots of Travel,143.0,0.5439229843561973,Skull Basher
21,23,Kunkka,1,Anti-Mage,W,0.4551724137931035,0.4284188034188034,63.0,0.3842857142857143,Power Treads,145.0,0.4383561643835616,Battle Fury,147.0,0.5446927374301676,Manta Style,48.0,0.6491228070175439,Boots of Travel,81.0,0.4552238805970149,Vladmir's Offering,143.0,0.4457831325301205,Skull Basher
22,25,Lina,1,Anti-Mage,Q,0.4313099041533546,0.4033299354400272,63.0,0.3554190434401053,Power Treads,145.0,0.4077006117308384,Battle Fury,143.0,0.4174917491749175,Skull Basher,81.0,0.4477379095163806,Vladmir's Offering,147.0,0.5110424028268551,Manta Style,48.0,0.6239316239316239,Boots of Travel
23,26,Lion,1,Anti-Mage,Q,0.4613861386138614,0.4292617449664429,63.0,0.3737517831669044,Power Treads,145.0,0.4370011402508552,Battle Fury,48.0,0.669683257918552,Boots of Travel,81.0,0.474296205630355,Vladmir's Offering,147.0,0.5364583333333334,Manta Style,143.0,0.4094387755102041,Skull Basher
24,27,Shadow Shaman,1,Anti-Mage,Q,0.4753086419753086,0.47585669781931467,63.0,0.4387434554973822,Power Treads,145.0,0.4900166389351082,Battle Fury,143.0,0.5066225165562914,Skull Basher,147.0,0.5873493975903614,Manta Style,81.0,0.5176056338028169,Vladmir's Offering,48.0,0.6877828054298643,Boots of Travel
25,28,Slardar,1,Anti-Mage,E,0.5384615384615384,0.5192622950819672,63.0,0.4688542825361513,Power Treads,145.0,0.526707530647986,Battle Fury,147.0,0.6233966136480247,Manta Style,48.0,0.7244258872651357,Boots of Travel,81.0,0.5541629364368845,Vladmir's Offering,143.0,0.5211267605633803,Skull Basher
26,29,Tidehunter,1,Anti-Mage,W,0.5,0.4686609686609687,63.0,0.4321329639889196,Power Treads,145.0,0.4795454545454546,Battle Fury,143.0,0.5210843373493976,Skull Basher,147.0,0.5857933579335793,Manta Style,81.0,0.5264054514480409,Vladmir's Offering,48.0,0.6822033898305084,Boots of Travel
